Name,Property_Title,Price_InLakhs,Location,Total_Area,Price_per_SQFT,Baths,Balcony,Typeof_flat,City
Casagrand ECR 14,4 BHK Flat for sale in Kanathur Reddikuppam Chennai,199,Kanathur Reddikuppam Chennai,2583,7700,4,1,4 BHK,Chennai
Ramanathan Nagar PozhichalurChennai,10 BHK Independent House for sale in Pozhichalur Chennai,225,Ramanathan Nagar PozhichalurChennai,7000,3210,6,1,10 BHK,Chennai
DAC Prapthi,3 BHK Flat for sale in West Tambaram Chennai,100,Kasthuribai Nagar West TambaramChennai,1320,7580,3,0,3 BHK,Chennai
NaveenilayaChepauk TriplicaneChennai,7 BHK Independent House for sale in Triplicane Chennai,333,NaveenilayaChepauk TriplicaneChennai,4250,7840,5,1,7 BHK,Chennai
VGN Spring Field Phase 1,2 BHK Flat for sale in Avadi Chennai,48,Avadi Chennai,960,5000,3,1,2 BHK,Chennai
KG Earth Homes,2 BHK Flat for sale in Siruseri Chennai,40,Siruseri Chennai,940,4250,3,0,2 BHK,Chennai
THIRAN FLATS Gowrivakkam SembakkamChennai,2 BHK Flat for sale in Sembakkam Chennai,60,THIRAN FLATS Gowrivakkam SembakkamChennai,880,6820,3,1,2 BHK,Chennai
TK Jasmine Grove,3 BHK Independent House for sale in Mahindra World City Chennai,72,Mahindra World City Chennai,1700,4250,3,1,3 BHK,Chennai
Avenue,2 BHK Flat for sale in West Tambaram Chennai,42,Brindavan Colony West TambaramChennai,840,5000,3,0,2 BHK,Chennai
Guru Kothai Aparts,1 BHK Flat for sale in Chromepet Chennai,30,New Colony ChromepetChennai,535,5610,2,0,1 BHK,Chennai
Mahindra Lifespaces Aqualilly Flexi Homes,1 BHK Flat for sale in Mahindra World City Chennai,29,Mahindra World City Chennai,581,5060,2,1,1 BHK,Chennai
DRA 90 Degrees,3 BHK Flat for sale in Pallikaranai Chennai,130,Rose Avenue PallikaranaiChennai,1444,9000,3,0,3 BHK,Chennai
Ramakrishna Puram West MambalamChennai,6 BHK Villa for sale in West Mambalam Chennai,850,Ramakrishna Puram West MambalamChennai,6000,14170,1,1,6 BHK,Chennai
Deepak homeMettuppalayam Ashok NagarChennai,2 BHK Flat for sale in Ashok Nagar Chennai,115,Deepak homeMettuppalayam Ashok NagarChennai,878,13100,3,1,2 BHK,Chennai
Chimaera ApartmentsMadambakkam Chennai,2 BHK Flat for sale in Madambakkam Chennai,49,Chimaera ApartmentsMadambakkam Chennai,944,5190,3,0,2 BHK,Chennai
SSM Nagar,3 BHK Flat for sale in Perungalathur Chennai,57,Perungalathur Chennai,1317,4330,3,0,3 BHK,Chennai
ARUN EXCELLO Padappai Chennai,2 BHK Flat for sale in Padappai Chennai,25,ARUN EXCELLO Padappai Chennai,820,3050,3,0,2 BHK,Chennai
Ramcons Dominion,3 BHK Flat for sale in Nungambakkam Chennai,260,Tirumurthy Nagar NungambakkamChennai,1658,15680,3,1,3 BHK,Chennai
VGN Coasta,4 BHK Flat for sale in Muttukadu Chennai,297,Muttukadu Chennai,4200,7070,5,1,4 BHK,Chennai
Ramanathan Nagar PozhichalurChennai,2 BHK Independent House for sale in Pozhichalur Chennai,162,Ramanathan Nagar PozhichalurChennai,2838,5710,4,1,2 BHK,Chennai
CasaGrand Vistaaz,3 BHK Villa for sale in Kolapakkam - Vandalur Chennai,108,Kolapakkam - Vandalur Chennai,1566,6900,3,0,3 BHK,Chennai
penta concept enclaveThiruverkkadu Chennai,4 BHK Flat for sale in Thiruverkkadu Chennai,100,penta concept enclaveThiruverkkadu Chennai,2350,4250,4,1,4 BHK,Chennai
